id,price
bawang-merah/aceh/2024-10-01,4.6
bawang-merah/aceh/2024-10-02,8.28
bawang-merah/aceh/2024-10-03,0.28
bawang-merah/aceh/2024-10-04,24.85
bawang-merah/aceh/2024-10-05,1.15
bawang-merah/aceh/2024-10-06,19.53
bawang-merah/aceh/2024-10-07,0.41
bawang-merah/aceh/2024-10-08,13.98
bawang-merah/aceh/2024-10-09,11.88
bawang-merah/aceh/2024-10-10,9.4
bawang-merah/aceh/2024-10-11,24.85
bawang-merah/aceh/2024-10-12,3.17
bawang-merah/aceh/2024-10-13,6.28
bawang-merah/aceh/2024-10-14,15.74
bawang-merah/aceh/2024-10-15,13.96
bawang-merah/aceh/2024-10-16,10.44
bawang-merah/aceh/2024-10-17,0.36
bawang-merah/aceh/2024-10-18,24.85
bawang-merah/aceh/2024-10-19,0.75
bawang-merah/aceh/2024-10-20,10.23
bawang-merah/aceh/2024-10-21,9.94
bawang-merah/aceh/2024-10-22,13.96
bawang-merah/aceh/2024-10-23,10.44
bawang-merah/aceh/2024-10-24,0.36
bawang-merah/aceh/2024-10-25,4.52
bawang-merah/aceh/2024-10-26,-0.47
bawang-merah/aceh/2024-10-27,28.19
bawang-merah/aceh/2024-10-28,0.41
bawang-merah/aceh/2024-10-29,4.16
bawang-merah/aceh/2024-10-30,10.44
bawang-merah/aceh/2024-10-31,0.36
bawang-merah/aceh/2024-11-01,24.85
bawang-merah/aceh/2024-11-02,-4.78
bawang-merah/aceh/2024-11-03,5.27
bawang-merah/aceh/2024-11-04,-0.38
bawang-merah/aceh/2024-11-05,17.03
bawang-merah/aceh/2024-11-06,18.47
bawang-merah/aceh/2024-11-07,14.07
bawang-merah/aceh/2024-11-08,10.53
bawang-merah/aceh/2024-11-09,5.55
bawang-merah/aceh/2024-11-10,0.61
bawang-merah/aceh/2024-11-11,11.81
bawang-merah/aceh/2024-11-12,17.03
bawang-merah/aceh/2024-11-13,16.99
bawang-merah/aceh/2024-11-14,26.2
bawang-merah/aceh/2024-11-15,8.59
bawang-merah/aceh/2024-11-16,-7.78
bawang-merah/aceh/2024-11-17,0.61
bawang-merah/aceh/2024-11-18,-0.29
bawang-merah/aceh/2024-11-19,17.03
bawang-merah/aceh/2024-11-20,16.99
bawang-merah/aceh/2024-11-21,11.01
bawang-merah/aceh/2024-11-22,25.69
bawang-merah/aceh/2024-11-23,1.18
bawang-merah/aceh/2024-11-24,12.13
bawang-merah/aceh/2024-11-25,-0.16
bawang-merah/aceh/2024-11-26,17.03
bawang-merah/aceh/2024-11-27,6.39
bawang-merah/aceh/2024-11-28,14.07
bawang-merah/aceh/2024-11-29,36.58
bawang-merah/aceh/2024-11-30,-1.64
bawang-merah/aceh/2024-12-01,14.85
bawang-merah/aceh/2024-12-02,-0.14
bawang-merah/aceh/2024-12-03,14.16
bawang-merah/aceh/2024-12-04,19.59
bawang-merah/aceh/2024-12-05,8.16
bawang-merah/aceh/2024-12-06,5.02
bawang-merah/aceh/2024-12-07,37.82
bawang-merah/aceh/2024-12-08,-0.01
bawang-merah/aceh/2024-12-09,10.7
bawang-merah/aceh/2024-12-10,14.16
bawang-merah/aceh/2024-12-11,19.59
bawang-merah/aceh/2024-12-12,24.68
bawang-merah/aceh/2024-12-13,5.02
bawang-merah/aceh/2024-12-14,23.03
bawang-merah/aceh/2024-12-15,16.05
bawang-merah/aceh/2024-12-16,27.42
bawang-merah/aceh/2024-12-17,14.16
bawang-merah/aceh/2024-12-18,7.06
bawang-merah/aceh/2024-12-19,23.69
bawang-merah/aceh/2024-12-20,9.73
bawang-merah/aceh/2024-12-21,-0.15
bawang-merah/aceh/2024-12-22,12.39
bawang-merah/aceh/2024-12-23,-4.4
bawang-merah/aceh/2024-12-24,34.23
bawang-merah/aceh/2024-12-25,19.59
bawang-merah/aceh/2024-12-26,-0.23
bawang-merah/aceh/2024-12-27,14.16
bawang-merah/aceh/2024-12-28,-0.07
bawang-merah/aceh/2024-12-29,2.46
bawang-merah/aceh/2024-12-30,-2.75
bawang-merah/aceh/2024-12-31,31.78
bawang-merah/bali/2024-10-01,0.0
bawang-merah/bali/2024-10-02,28.58
bawang-merah/bali/2024-10-03,32.91
bawang-merah/bali/2024-10-04,47.1
bawang-merah/bali/2024-10-05,29.24
bawang-merah/bali/2024-10-06,3.85
bawang-merah/bali/2024-10-07,24.97
bawang-merah/bali/2024-10-08,10.19
bawang-merah/bali/2024-10-09,57.37
bawang-merah/bali/2024-10-10,22.04
bawang-merah/bali/2024-10-11,37.86
bawang-merah/bali/2024-10-12,39.42
bawang-merah/bali/2024-10-13,28.33
bawang-merah/bali/2024-10-14,18.02
bawang-merah/bali/2024-10-15,47.67
bawang-merah/bali/2024-10-16,30.51
bawang-merah/bali/2024-10-17,50.42
bawang-merah/bali/2024-10-18,49.03
bawang-merah/bali/2024-10-19,51.98
bawang-merah/bali/2024-10-20,41.9
bawang-merah/bali/2024-10-21,41.2
bawang-merah/bali/2024-10-22,42.79
bawang-merah/bali/2024-10-23,45.29
bawang-merah/bali/2024-10-24,37.52
bawang-merah/bali/2024-10-25,51.53
bawang-merah/bali/2024-10-26,51.4
bawang-merah/bali/2024-10-27,40.59
bawang-merah/bali/2024-10-28,46.46
bawang-merah/bali/2024-10-29,49.88
bawang-merah/bali/2024-10-30,62.75
bawang-merah/bali/2024-10-31,48.14
bawang-merah/bali/2024-11-01,39.43
bawang-merah/bali/2024-11-02,35.82
bawang-merah/bali/2024-11-03,35.88
bawang-merah/bali/2024-11-04,47.13
bawang-merah/bali/2024-11-05,46.32
bawang-merah/bali/2024-11-06,48.68
bawang-merah/bali/2024-11-07,32.92
bawang-merah/bali/2024-11-08,36.21
bawang-merah/bali/2024-11-09,34.54
bawang-merah/bali/2024-11-10,40.85
bawang-merah/bali/2024-11-11,38.67
bawang-merah/bali/2024-11-12,43.03
bawang-merah/bali/2024-11-13,33.62
bawang-merah/bali/2024-11-14,42.22
bawang-merah/bali/2024-11-15,32.42
bawang-merah/bali/2024-11-16,46.04
bawang-merah/bali/2024-11-17,16.28
bawang-merah/bali/2024-11-18,41.81
bawang-merah/bali/2024-11-19,15.08
bawang-merah/bali/2024-11-20,47.45
bawang-merah/bali/2024-11-21,32.65
bawang-merah/bali/2024-11-22,33.54
bawang-merah/bali/2024-11-23,26.15
bawang-merah/bali/2024-11-24,32.59
bawang-merah/bali/2024-11-25,51.6
bawang-merah/bali/2024-11-26,37.75
bawang-merah/bali/2024-11-27,47.04
bawang-merah/bali/2024-11-28,50.81
bawang-merah/bali/2024-11-29,44.73
bawang-merah/bali/2024-11-30,40.21
bawang-merah/bali/2024-12-01,31.35
bawang-merah/bali/2024-12-02,39.51
bawang-merah/bali/2024-12-03,38.02
bawang-merah/bali/2024-12-04,47.61
bawang-merah/bali/2024-12-05,34.1
bawang-merah/bali/2024-12-06,25.77
bawang-merah/bali/2024-12-07,33.81
bawang-merah/bali/2024-12-08,31.76
bawang-merah/bali/2024-12-09,35.36
bawang-merah/bali/2024-12-10,31.22
bawang-merah/bali/2024-12-11,38.43
bawang-merah/bali/2024-12-12,21.96
bawang-merah/bali/2024-12-13,33.52
bawang-merah/bali/2024-12-14,29.09
bawang-merah/bali/2024-12-15,39.31
bawang-merah/bali/2024-12-16,42.16
bawang-merah/bali/2024-12-17,44.01
bawang-merah/bali/2024-12-18,44.02
bawang-merah/bali/2024-12-19,35.51
bawang-merah/bali/2024-12-20,40.63
bawang-merah/bali/2024-12-21,36.23
bawang-merah/bali/2024-12-22,54.95
bawang-merah/bali/2024-12-23,42.58
bawang-merah/bali/2024-12-24,50.36
bawang-merah/bali/2024-12-25,37.93
bawang-merah/bali/2024-12-26,39.0
bawang-merah/bali/2024-12-27,39.04
bawang-merah/bali/2024-12-28,51.05
bawang-merah/bali/2024-12-29,29.4
bawang-merah/bali/2024-12-30,28.04
bawang-merah/bali/2024-12-31,37.69
bawang-merah/banten/2024-10-01,30.69
bawang-merah/banten/2024-10-02,41.95
bawang-merah/banten/2024-10-03,39.1
bawang-merah/banten/2024-10-04,43.38
bawang-merah/banten/2024-10-05,33.92
bawang-merah/banten/2024-10-06,35.73
bawang-merah/banten/2024-10-07,43.48
bawang-merah/banten/2024-10-08,39.73
bawang-merah/banten/2024-10-09,43.33
bawang-merah/banten/2024-10-10,39.11
bawang-merah/banten/2024-10-11,40.88
bawang-merah/banten/2024-10-12,38.78
bawang-merah/banten/2024-10-13,45.27
bawang-merah/banten/2024-10-14,32.72
bawang-merah/banten/2024-10-15,38.94
bawang-merah/banten/2024-10-16,37.11
bawang-merah/banten/2024-10-17,38.95
bawang-merah/banten/2024-10-18,39.55
bawang-merah/banten/2024-10-19,40.85
bawang-merah/banten/2024-10-20,43.73
bawang-merah/banten/2024-10-21,42.87
bawang-merah/banten/2024-10-22,46.46
bawang-merah/banten/2024-10-23,42.27
bawang-merah/banten/2024-10-24,47.7
bawang-merah/banten/2024-10-25,39.04
bawang-merah/banten/2024-10-26,39.67
bawang-merah/banten/2024-10-27,31.22
bawang-merah/banten/2024-10-28,35.43
bawang-merah/banten/2024-10-29,38.03
bawang-merah/banten/2024-10-30,40.68
bawang-merah/banten/2024-10-31,41.19
bawang-merah/banten/2024-11-01,42.08
bawang-merah/banten/2024-11-02,38.02
bawang-merah/banten/2024-11-03,37.39
bawang-merah/banten/2024-11-04,41.48
bawang-merah/banten/2024-11-05,31.47
bawang-merah/banten/2024-11-06,40.11
bawang-merah/banten/2024-11-07,36.74
bawang-merah/banten/2024-11-08,40.65
bawang-merah/banten/2024-11-09,41.23
bawang-merah/banten/2024-11-10,38.69
bawang-merah/banten/2024-11-11,34.03
bawang-merah/banten/2024-11-12,48.49
bawang-merah/banten/2024-11-13,39.85
bawang-merah/banten/2024-11-14,39.56
bawang-merah/banten/2024-11-15,36.41
bawang-merah/banten/2024-11-16,32.07
bawang-merah/banten/2024-11-17,41.03
bawang-merah/banten/2024-11-18,40.86
bawang-merah/banten/2024-11-19,39.01
bawang-merah/banten/2024-11-20,44.49
bawang-merah/banten/2024-11-21,37.34
bawang-merah/banten/2024-11-22,43.82
bawang-merah/banten/2024-11-23,42.4
bawang-merah/banten/2024-11-24,44.63
bawang-merah/banten/2024-11-25,38.69
bawang-merah/banten/2024-11-26,48.05
bawang-merah/banten/2024-11-27,38.57
bawang-merah/banten/2024-11-28,41.65
bawang-merah/banten/2024-11-29,39.9
bawang-merah/banten/2024-11-30,37.69
bawang-merah/banten/2024-12-01,32.8
bawang-merah/banten/2024-12-02,38.47
bawang-merah/banten/2024-12-03,38.75
bawang-merah/banten/2024-12-04,40.01
bawang-merah/banten/2024-12-05,40.71
bawang-merah/banten/2024-12-06,37.75
bawang-merah/banten/2024-12-07,38.5
bawang-merah/banten/2024-12-08,36.69
bawang-merah/banten/2024-12-09,34.83
bawang-merah/banten/2024-12-10,37.43
bawang-merah/banten/2024-12-11,40.18
bawang-merah/banten/2024-12-12,33.81
bawang-merah/banten/2024-12-13,33.01
bawang-merah/banten/2024-12-14,41.63
bawang-merah/banten/2024-12-15,44.37
bawang-merah/banten/2024-12-16,36.54
bawang-merah/banten/2024-12-17,30.08
bawang-merah/banten/2024-12-18,36.1
bawang-merah/banten/2024-12-19,38.73
bawang-merah/banten/2024-12-20,42.46
bawang-merah/banten/2024-12-21,37.47
bawang-merah/banten/2024-12-22,38.81
bawang-merah/banten/2024-12-23,39.7
bawang-merah/banten/2024-12-24,46.07
bawang-merah/banten/2024-12-25,41.12
bawang-merah/banten/2024-12-26,43.69
bawang-merah/banten/2024-12-27,44.67
bawang-merah/banten/2024-12-28,40.46
bawang-merah/banten/2024-12-29,31.83
bawang-merah/banten/2024-12-30,40.17
bawang-merah/banten/2024-12-31,38.88
bawang-merah/bengkulu/2024-10-01,11.09
bawang-merah/bengkulu/2024-10-02,-0.0
bawang-merah/bengkulu/2024-10-03,0.02
bawang-merah/bengkulu/2024-10-04,7.92
bawang-merah/bengkulu/2024-10-05,-0.0
bawang-merah/bengkulu/2024-10-06,9.18
bawang-merah/bengkulu/2024-10-07,-0.0
bawang-merah/bengkulu/2024-10-08,-0.0
bawang-merah/bengkulu/2024-10-09,-0.0
bawang-merah/bengkulu/2024-10-10,0.02
bawang-merah/bengkulu/2024-10-11,7.92
bawang-merah/bengkulu/2024-10-12,-0.0
bawang-merah/bengkulu/2024-10-13,9.18
bawang-merah/bengkulu/2024-10-14,-0.0
bawang-merah/bengkulu/2024-10-15,-0.0
bawang-merah/bengkulu/2024-10-16,-0.0
bawang-merah/bengkulu/2024-10-17,0.02
bawang-merah/bengkulu/2024-10-18,7.92
bawang-merah/bengkulu/2024-10-19,-0.0
bawang-merah/bengkulu/2024-10-20,9.18
bawang-merah/bengkulu/2024-10-21,-0.0
bawang-merah/bengkulu/2024-10-22,-0.0
bawang-merah/bengkulu/2024-10-23,-0.0
bawang-merah/bengkulu/2024-10-24,0.02
bawang-merah/bengkulu/2024-10-25,7.92
bawang-merah/bengkulu/2024-10-26,-0.0
bawang-merah/bengkulu/2024-10-27,9.18
bawang-merah/bengkulu/2024-10-28,-0.0
bawang-merah/bengkulu/2024-10-29,-0.0
bawang-merah/bengkulu/2024-10-30,-0.0
bawang-merah/bengkulu/2024-10-31,0.02
bawang-merah/bengkulu/2024-11-01,7.92
bawang-merah/bengkulu/2024-11-02,0.0
bawang-merah/bengkulu/2024-11-03,13.63
bawang-merah/bengkulu/2024-11-04,0.0
bawang-merah/bengkulu/2024-11-05,14.6
bawang-merah/bengkulu/2024-11-06,0.0
bawang-merah/bengkulu/2024-11-07,-0.0
bawang-merah/bengkulu/2024-11-08,0.0
bawang-merah/bengkulu/2024-11-09,0.0
bawang-merah/bengkulu/2024-11-10,13.63
bawang-merah/bengkulu/2024-11-11,0.0
bawang-merah/bengkulu/2024-11-12,14.6
bawang-merah/bengkulu/2024-11-13,0.0
bawang-merah/bengkulu/2024-11-14,-0.0
bawang-merah/bengkulu/2024-11-15,0.0
bawang-merah/bengkulu/2024-11-16,0.0
bawang-merah/bengkulu/2024-11-17,13.63
bawang-merah/bengkulu/2024-11-18,0.0
bawang-merah/bengkulu/2024-11-19,14.6
bawang-merah/bengkulu/2024-11-20,0.0
bawang-merah/bengkulu/2024-11-21,-0.0
bawang-merah/bengkulu/2024-11-22,0.0
bawang-merah/bengkulu/2024-11-23,0.0
bawang-merah/bengkulu/2024-11-24,13.63
bawang-merah/bengkulu/2024-11-25,0.0
bawang-merah/bengkulu/2024-11-26,14.6
bawang-merah/bengkulu/2024-11-27,0.0
bawang-merah/bengkulu/2024-11-28,-0.0
bawang-merah/bengkulu/2024-11-29,0.0
bawang-merah/bengkulu/2024-11-30,0.0
bawang-merah/bengkulu/2024-12-01,13.63
bawang-merah/bengkulu/2024-12-02,-0.0
bawang-merah/bengkulu/2024-12-03,0.0
bawang-merah/bengkulu/2024-12-04,-0.0
bawang-merah/bengkulu/2024-12-05,9.44
bawang-merah/bengkulu/2024-12-06,-0.0
bawang-merah/bengkulu/2024-12-07,-0.0
bawang-merah/bengkulu/2024-12-08,8.24
bawang-merah/bengkulu/2024-12-09,-0.0
bawang-merah/bengkulu/2024-12-10,0.0
bawang-merah/bengkulu/2024-12-11,-0.0
bawang-merah/bengkulu/2024-12-12,9.44
bawang-merah/bengkulu/2024-12-13,-0.0
bawang-merah/bengkulu/2024-12-14,-0.0
bawang-merah/bengkulu/2024-12-15,8.24
bawang-merah/bengkulu/2024-12-16,-0.0
bawang-merah/bengkulu/2024-12-17,0.0
bawang-merah/bengkulu/2024-12-18,-0.0
bawang-merah/bengkulu/2024-12-19,9.44
bawang-merah/bengkulu/2024-12-20,-0.0
bawang-merah/bengkulu/2024-12-21,-0.0
bawang-merah/bengkulu/2024-12-22,8.24
bawang-merah/bengkulu/2024-12-23,-0.0
bawang-merah/bengkulu/2024-12-24,0.0
bawang-merah/bengkulu/2024-12-25,-0.0
bawang-merah/bengkulu/2024-12-26,9.44
bawang-merah/bengkulu/2024-12-27,-0.0
bawang-merah/bengkulu/2024-12-28,-0.0
bawang-merah/bengkulu/2024-12-29,8.24
bawang-merah/bengkulu/2024-12-30,-0.0
bawang-merah/bengkulu/2024-12-31,0.0
bawang-merah/di yogyakarta/2024-10-01,29.72
bawang-merah/di yogyakarta/2024-10-02,32.95
bawang-merah/di yogyakarta/2024-10-03,60.48
bawang-merah/di yogyakarta/2024-10-04,40.95
bawang-merah/di yogyakarta/2024-10-05,40.34
bawang-merah/di yogyakarta/2024-10-06,35.68
bawang-merah/di yogyakarta/2024-10-07,47.97
bawang-merah/di yogyakarta/2024-10-08,43.4
bawang-merah/di yogyakarta/2024-10-09,44.81
bawang-merah/di yogyakarta/2024-10-10,39.2
bawang-merah/di yogyakarta/2024-10-11,41.16
bawang-merah/di yogyakarta/2024-10-12,31.4
bawang-merah/di yogyakarta/2024-10-13,39.73
bawang-merah/di yogyakarta/2024-10-14,48.95
bawang-merah/di yogyakarta/2024-10-15,49.18
bawang-merah/di yogyakarta/2024-10-16,46.72
bawang-merah/di yogyakarta/2024-10-17,47.44
bawang-merah/di yogyakarta/2024-10-18,43.48
bawang-merah/di yogyakarta/2024-10-19,24.25
bawang-merah/di yogyakarta/2024-10-20,30.95
bawang-merah/di yogyakarta/2024-10-21,37.68
bawang-merah/di yogyakarta/2024-10-22,37.45
bawang-merah/di yogyakarta/2024-10-23,38.41
bawang-merah/di yogyakarta/2024-10-24,39.53
bawang-merah/di yogyakarta/2024-10-25,48.43
bawang-merah/di yogyakarta/2024-10-26,44.97
bawang-merah/di yogyakarta/2024-10-27,29.31
bawang-merah/di yogyakarta/2024-10-28,43.65
bawang-merah/di yogyakarta/2024-10-29,43.71
bawang-merah/di yogyakarta/2024-10-30,46.94
bawang-merah/di yogyakarta/2024-10-31,41.01
bawang-merah/di yogyakarta/2024-11-01,37.9
bawang-merah/di yogyakarta/2024-11-02,43.34
bawang-merah/di yogyakarta/2024-11-03,44.74
bawang-merah/di yogyakarta/2024-11-04,44.19
bawang-merah/di yogyakarta/2024-11-05,51.92
bawang-merah/di yogyakarta/2024-11-06,47.04
bawang-merah/di yogyakarta/2024-11-07,40.4
bawang-merah/di yogyakarta/2024-11-08,24.67
bawang-merah/di yogyakarta/2024-11-09,39.75
bawang-merah/di yogyakarta/2024-11-10,45.93
