Date,Region,Latitude,Longitude,Plastic_Type,Plastic_Weight_kg,Depth_meters
01/01/2015 0:00,Arctic Ocean,-58.45962737,-169.6264556,Polyethylene Terephthalate (PET),41.93,73.09
01/01/2015 1:00,Southern Ocean,49.44989207,77.31985156,Polyethylene (PE),403.38,71.21
01/01/2015 2:00,Indian Ocean,80.42241101,130.332581,Polyethylene Terephthalate (PET),241.7,19.53
01/01/2015 3:00,Southern Ocean,-71.92072478,58.00356276,Polyethylene Terephthalate (PET),482.76,69.72
01/01/2015 4:00,Southern Ocean,-61.99374161,-169.0112823,Polyethylene Terephthalate (PET),58.75,58.14
01/01/2015 5:00,Atlantic Ocean,82.80227831,128.8510374,Polyethylene (PE),66.73,85.01
01/01/2015 6:00,Indian Ocean,-83.19884007,83.68700866,Polystyrene (PS),174.35,62.48
01/01/2015 7:00,Indian Ocean,85.97382058,-43.75752751,Polyethylene (PE),103.46,14.63
01/01/2015 8:00,Indian Ocean,-89.16399304,-61.69310701,Polypropylene (PP),348.33,31.85
01/01/2015 9:00,Southern Ocean,67.26035802,-7.264734693,Polystyrene (PS),473.41,74.38
01/01/2015 10:00,Arctic Ocean,-34.68146742,132.1566303,Polyethylene (PE),45.04,74
01/01/2015 11:00,Indian Ocean,78.94599447,-89.25863333,Polypropylene (PP),121.19,22.27
01/01/2015 12:00,Southern Ocean,-32.94984805,-143.653028,Polypropylene (PP),119.03,35.46
01/01/2015 13:00,Atlantic Ocean,27.77513788,131.2690943,Polyvinyl Chloride (PVC),254.59,1.53
01/01/2015 14:00,Arctic Ocean,-75.59413744,-170.5356544,Polyvinyl Chloride (PVC),226.07,33.17
01/01/2015 15:00,Atlantic Ocean,-46.38063394,147.958928,Polyethylene Terephthalate (PET),363.46,2.63
01/01/2015 16:00,Arctic Ocean,49.26228237,-69.93173005,Polystyrene (PS),366.34,87.29
01/01/2015 17:00,Southern Ocean,5.163453662,2.960172608,Polyethylene (PE),286.42,66.66
01/01/2015 18:00,Pacific Ocean,77.03443112,-132.3736111,Polyethylene Terephthalate (PET),295.55,96.91
01/01/2015 19:00,Arctic Ocean,-12.8247465,144.811789,Polystyrene (PS),421.17,89.19
01/01/2015 20:00,Atlantic Ocean,66.56622585,89.94104042,Polyvinyl Chloride (PVC),198.53,60.35
01/01/2015 21:00,Southern Ocean,-9.188021254,152.6960112,Polyethylene (PE),6.27,50.29
01/01/2015 22:00,Arctic Ocean,86.26469017,65.9624584,Polypropylene (PP),106.59,88.37
01/01/2015 23:00,Pacific Ocean,82.77018865,-113.5102404,Polypropylene (PP),17.78,29.84
02/01/2015 0:00,Pacific Ocean,-30.755393,-69.02387892,Polyethylene Terephthalate (PET),196.81,22.35
02/01/2015 1:00,Indian Ocean,69.46626068,-4.734512963,Polyethylene Terephthalate (PET),178.98,41
02/01/2015 2:00,Indian Ocean,62.57004736,38.61295393,Polyethylene (PE),49.41,5.32
02/01/2015 3:00,Atlantic Ocean,-52.07752848,153.5253974,Polypropylene (PP),377.54,30.2
02/01/2015 4:00,Arctic Ocean,22.37227214,-41.77747232,Polyethylene Terephthalate (PET),276.58,8.37
02/01/2015 5:00,Arctic Ocean,-76.91718319,73.10592789,Polypropylene (PP),112.93,5.27
02/01/2015 6:00,Indian Ocean,60.60792971,165.9631856,Polyvinyl Chloride (PVC),379.59,55.13
02/01/2015 7:00,Arctic Ocean,-58.58174097,-125.1453372,Polyethylene Terephthalate (PET),334,70.82
02/01/2015 8:00,Arctic Ocean,-77.25335375,130.575452,Polystyrene (PS),95.88,53.67
